dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1840-08-01;15,859;1,748;Abakan;Russia;53.84N;91.36E
1840-09-01;6,854;1,362;Abakan;Russia;53.84N;91.36E
1840-10-01;-4,537;4,004;Abakan;Russia;53.84N;91.36E
1840-11-01;-15,582;6,842;Abakan;Russia;53.84N;91.36E
1840-12-01;-18,906;1,252;Abakan;Russia;53.84N;91.36E
1841-01-01;-26,054;5,774;Abakan;Russia;53.84N;91.36E
1841-02-01;-16,073;4,928;Abakan;Russia;53.84N;91.36E
1841-03-01;-13,333;3,205;Abakan;Russia;53.84N;91.36E
1841-04-01;-3,356;5,281;Abakan;Russia;53.84N;91.36E
1841-05-01;8,837;1,246;Abakan;Russia;53.84N;91.36E
1841-06-01;14,529;1,326;Abakan;Russia;53.84N;91.36E
1841-07-01;18,403;1,153;Abakan;Russia;53.84N;91.36E
1841-08-01;14,811;2,44;Abakan;Russia;53.84N;91.36E
1841-09-01;7,148;0,983;Abakan;Russia;53.84N;91.36E
1841-10-01;-0,145;1,285;Abakan;Russia;53.84N;91.36E
1841-11-01;-14,49;5,931;Abakan;Russia;53.84N;91.36E
1841-12-01;-22,49;8,164;Abakan;Russia;53.84N;91.36E
1842-01-01;-20,949;3,521;Abakan;Russia;53.84N;91.36E
1842-02-01;-17,727;2,269;Abakan;Russia;53.84N;91.36E
1842-03-01;-6,333;4,705;Abakan;Russia;53.84N;91.36E
1842-04-01;3,591;5,072;Abakan;Russia;53.84N;91.36E
1842-05-01;8,977;0,977;Abakan;Russia;53.84N;91.36E
1842-06-01;15,131;1,033;Abakan;Russia;53.84N;91.36E
1842-07-01;17,321;1,346;Abakan;Russia;53.84N;91.36E
1842-08-01;14,207;1,562;Abakan;Russia;53.84N;91.36E
1842-09-01;9,29;2,043;Abakan;Russia;53.84N;91.36E
1842-10-01;0,884;3,551;Abakan;Russia;53.84N;91.36E
1842-11-01;-10,611;1,257;Abakan;Russia;53.84N;91.36E
1842-12-01;-16,716;1,431;Abakan;Russia;53.84N;91.36E
1843-01-01;-20,126;1,583;Abakan;Russia;53.84N;91.36E
1843-02-01;-15,346;1,542;Abakan;Russia;53.84N;91.36E
1843-03-01;-8,093;1,621;Abakan;Russia;53.84N;91.36E
1843-04-01;2,899;3,964;Abakan;Russia;53.84N;91.36E
1843-05-01;8,755;1,001;Abakan;Russia;53.84N;91.36E
1843-06-01;14,095;1,733;Abakan;Russia;53.84N;91.36E
1843-07-01;18,35;1,406;Abakan;Russia;53.84N;91.36E
1843-08-01;16,23;1,289;Abakan;Russia;53.84N;91.36E
1843-09-01;8,898;1,154;Abakan;Russia;53.84N;91.36E
1843-10-01;2,697;4,157;Abakan;Russia;53.84N;91.36E
1843-11-01;-11,69;3,937;Abakan;Russia;53.84N;91.36E
1843-12-01;-14,321;2,959;Abakan;Russia;53.84N;91.36E
1844-01-01;-18,322;4,357;Abakan;Russia;53.84N;91.36E
1844-02-01;-19,921;1,394;Abakan;Russia;53.84N;91.36E
1844-03-01;-6,844;4,742;Abakan;Russia;53.84N;91.36E
1844-04-01;-0,072;1,552;Abakan;Russia;53.84N;91.36E
1844-05-01;7,055;2,305;Abakan;Russia;53.84N;91.36E
1844-06-01;16,212;1,384;Abakan;Russia;53.84N;91.36E
1844-07-01;17,884;1,04;Abakan;Russia;53.84N;91.36E
1844-08-01;14,805;0,961;Abakan;Russia;53.84N;91.36E
1844-09-01;7,212;1,572;Abakan;Russia;53.84N;91.36E
1844-10-01;0,198;1,419;Abakan;Russia;53.84N;91.36E
1844-11-01;-9,79;1,759;Abakan;Russia;53.84N;91.36E
1844-12-01;-19,363;1,844;Abakan;Russia;53.84N;91.36E
1845-01-01;-20,146;2,863;Abakan;Russia;53.84N;91.36E
1845-02-01;-20,737;2,009;Abakan;Russia;53.84N;91.36E
1845-03-01;-9,474;1,858;Abakan;Russia;53.84N;91.36E
1845-04-01;2,233;1,989;Abakan;Russia;53.84N;91.36E
1845-05-01;9,449;1,463;Abakan;Russia;53.84N;91.36E
1845-06-01;16,441;1,6;Abakan;Russia;53.84N;91.36E
1845-07-01;19,062;1,124;Abakan;Russia;53.84N;91.36E
1845-08-01;15,44;1,198;Abakan;Russia;53.84N;91.36E
1845-09-01;8,048;1,795;Abakan;Russia;53.84N;91.36E
1845-10-01;-0,185;2,944;Abakan;Russia;53.84N;91.36E
1845-11-01;-11,545;2,607;Abakan;Russia;53.84N;91.36E
1845-12-01;-21,714;2,999;Abakan;Russia;53.84N;91.36E
1846-01-01;-23,829;7,728;Abakan;Russia;53.84N;91.36E
1846-02-01;-14,054;5,408;Abakan;Russia;53.84N;91.36E
1846-03-01;-7,522;1,774;Abakan;Russia;53.84N;91.36E
1846-04-01;-2,957;4,181;Abakan;Russia;53.84N;91.36E
1846-05-01;9,991;1,719;Abakan;Russia;53.84N;91.36E
1846-06-01;17,465;2,08;Abakan;Russia;53.84N;91.36E
1846-07-01;19,11;1,532;Abakan;Russia;53.84N;91.36E
1846-08-01;15,62;1,994;Abakan;Russia;53.84N;91.36E
1846-09-01;8,622;1,85;Abakan;Russia;53.84N;91.36E
1846-10-01;-2,919;3,814;Abakan;Russia;53.84N;91.36E
1846-11-01;-10,688;1,591;Abakan;Russia;53.84N;91.36E
1846-12-01;-15,527;3,455;Abakan;Russia;53.84N;91.36E
1847-01-01;-19,536;3,862;Abakan;Russia;53.84N;91.36E
1847-02-01;-15,04;5,231;Abakan;Russia;53.84N;91.36E
1847-03-01;-10,637;1,805;Abakan;Russia;53.84N;91.36E
1847-04-01;0,756;1,527;Abakan;Russia;53.84N;91.36E
1847-05-01;9,268;1,163;Abakan;Russia;53.84N;91.36E
1847-06-01;14,991;1,091;Abakan;Russia;53.84N;91.36E
1847-07-01;17,241;2,49;Abakan;Russia;53.84N;91.36E
1847-08-01;14,497;1,444;Abakan;Russia;53.84N;91.36E
1847-09-01;5,972;3,159;Abakan;Russia;53.84N;91.36E
1847-10-01;-0,075;1,458;Abakan;Russia;53.84N;91.36E
1847-11-01;-8,831;2,087;Abakan;Russia;53.84N;91.36E
1847-12-01;-20,999;2,572;Abakan;Russia;53.84N;91.36E
1848-01-01;-26,501;5,059;Abakan;Russia;53.84N;91.36E
1848-02-01;-17,479;3,034;Abakan;Russia;53.84N;91.36E
1848-03-01;-11,251;3,581;Abakan;Russia;53.84N;91.36E
1848-04-01;-0,862;2,041;Abakan;Russia;53.84N;91.36E
1848-05-01;7,08;2,446;Abakan;Russia;53.84N;91.36E
1848-06-01;16,201;2,091;Abakan;Russia;53.84N;91.36E
1848-07-01;19,043;1,494;Abakan;Russia;53.84N;91.36E
1848-08-01;16,126;1,975;Abakan;Russia;53.84N;91.36E
1848-09-01;8,087;1,138;Abakan;Russia;53.84N;91.36E
1848-10-01;-0,243;1,144;Abakan;Russia;53.84N;91.36E
1848-11-01;-9,116;2,119;Abakan;Russia;53.84N;91.36E
1848-12-01;-16,096;3,618;Abakan;Russia;53.84N;91.36E
1849-01-01;-17,821;2,858;Abakan;Russia;53.84N;91.36E
1849-02-01;-17,912;2,056;Abakan;Russia;53.84N;91.36E
1849-03-01;-6,591;2,438;Abakan;Russia;53.84N;91.36E
1849-04-01;-0,383;2,236;Abakan;Russia;53.84N;91.36E
1849-05-01;7,139;2,135;Abakan;Russia;53.84N;91.36E
1849-06-01;15,445;2,13;Abakan;Russia;53.84N;91.36E
1849-07-01;17,412;1,794;Abakan;Russia;53.84N;91.36E
1849-08-01;15,521;1,327;Abakan;Russia;53.84N;91.36E
1849-09-01;6,932;1,912;Abakan;Russia;53.84N;91.36E
1849-10-01;0,578;1,728;Abakan;Russia;53.84N;91.36E
1849-11-01;-10,957;3,538;Abakan;Russia;53.84N;91.36E
1849-12-01;-19,084;2,1;Abakan;Russia;53.84N;91.36E
1850-01-01;-26,238;4,142;Abakan;Russia;53.84N;91.36E
1850-02-01;-17,731;1,834;Abakan;Russia;53.84N;91.36E
1850-03-01;-6,527;3,83;Abakan;Russia;53.84N;91.36E
1850-04-01;-0,435;1,401;Abakan;Russia;53.84N;91.36E
1850-05-01;7,912;1,468;Abakan;Russia;53.84N;91.36E
1850-06-01;14,085;2,127;Abakan;Russia;53.84N;91.36E
