dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1768-02-01;-1,487;10,079;Bern;Switzerland;47.42N;8.29E
1768-03-01;0,233;7,094;Bern;Switzerland;47.42N;8.29E
1768-04-01;6,58;4,283;Bern;Switzerland;47.42N;8.29E
1768-05-01;11,307;3,097;Bern;Switzerland;47.42N;8.29E
1768-06-01;13,37;5,335;Bern;Switzerland;47.42N;8.29E
1768-07-01;16,195;5,432;Bern;Switzerland;47.42N;8.29E
1768-08-01;15,708;1,513;Bern;Switzerland;47.42N;8.29E
1768-09-01;11,138;5,258;Bern;Switzerland;47.42N;8.29E
1768-10-01;6,682;5,495;Bern;Switzerland;47.42N;8.29E
1768-11-01;2,768;6,259;Bern;Switzerland;47.42N;8.29E
1768-12-01;-1,865;8,296;Bern;Switzerland;47.42N;8.29E
1769-01-01;-1,033;6,935;Bern;Switzerland;47.42N;8.29E
1769-02-01;-0,928;4,26;Bern;Switzerland;47.42N;8.29E
1769-03-01;1,296;6,137;Bern;Switzerland;47.42N;8.29E
1769-04-01;6,535;6,784;Bern;Switzerland;47.42N;8.29E
1769-05-01;11,122;10,02;Bern;Switzerland;47.42N;8.29E
1769-06-01;13,99;5,293;Bern;Switzerland;47.42N;8.29E
1769-07-01;15,777;6,024;Bern;Switzerland;47.42N;8.29E
1769-08-01;15,142;6,172;Bern;Switzerland;47.42N;8.29E
1769-09-01;12,28;1,64;Bern;Switzerland;47.42N;8.29E
1769-10-01;3,201;3,029;Bern;Switzerland;47.42N;8.29E
1769-11-01;3,456;1,9;Bern;Switzerland;47.42N;8.29E
1769-12-01;-0,825;4,665;Bern;Switzerland;47.42N;8.29E
1770-01-01;-3,45;8,157;Bern;Switzerland;47.42N;8.29E
1770-02-01;-1,243;4,599;Bern;Switzerland;47.42N;8.29E
1770-03-01;0,33;5,224;Bern;Switzerland;47.42N;8.29E
1770-04-01;4,39;13,57;Bern;Switzerland;47.42N;8.29E
1770-05-01;10,878;2,082;Bern;Switzerland;47.42N;8.29E
1770-06-01;14,003;4,787;Bern;Switzerland;47.42N;8.29E
1770-07-01;14,527;9,256;Bern;Switzerland;47.42N;8.29E
1770-08-01;15,776;5,297;Bern;Switzerland;47.42N;8.29E
1770-09-01;13,817;4,021;Bern;Switzerland;47.42N;8.29E
1770-10-01;6,713;5,713;Bern;Switzerland;47.42N;8.29E
1770-11-01;3,102;7,956;Bern;Switzerland;47.42N;8.29E
1770-12-01;-0,556;11,01;Bern;Switzerland;47.42N;8.29E
1771-01-01;-1,812;8,814;Bern;Switzerland;47.42N;8.29E
1771-02-01;-2,074;4,989;Bern;Switzerland;47.42N;8.29E
1771-03-01;0,81;9,096;Bern;Switzerland;47.42N;8.29E
1771-04-01;3,385;8,177;Bern;Switzerland;47.42N;8.29E
1771-05-01;13,207;12,946;Bern;Switzerland;47.42N;8.29E
1771-06-01;13,437;3,42;Bern;Switzerland;47.42N;8.29E
1771-07-01;16,407;2,135;Bern;Switzerland;47.42N;8.29E
1771-08-01;15,115;3,016;Bern;Switzerland;47.42N;8.29E
1771-09-01;12,41;2,291;Bern;Switzerland;47.42N;8.29E
1771-10-01;7,142;1,865;Bern;Switzerland;47.42N;8.29E
1771-11-01;-0,046;5,194;Bern;Switzerland;47.42N;8.29E
1771-12-01;0,544;4,803;Bern;Switzerland;47.42N;8.29E
1772-01-01;-1,923;9,859;Bern;Switzerland;47.42N;8.29E
1772-02-01;1,788;11,58;Bern;Switzerland;47.42N;8.29E
1772-03-01;4,25;4,593;Bern;Switzerland;47.42N;8.29E
1772-04-01;6,089;4,897;Bern;Switzerland;47.42N;8.29E
1772-05-01;9,728;1,764;Bern;Switzerland;47.42N;8.29E
1772-06-01;16,198;5,558;Bern;Switzerland;47.42N;8.29E
1772-07-01;16,457;3,443;Bern;Switzerland;47.42N;8.29E
1772-08-01;15,854;5,081;Bern;Switzerland;47.42N;8.29E
